                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0351,                  0.706,                 1.0889,                0.85661,                0.79449,                0.84611,                0.52869,                 1.1684,                0.73288,                 1.0592,              0.0012734,              0.0012734,              0.0012734
                     36,                 1.0682,                0.71387,                 1.0908,                0.83708,                 0.7629,                0.82312,                0.50538,                 1.2368,                0.81503,                   1.09,              0.0012687,              0.0012687,              0.0012687
                     37,                 1.0447,                0.69698,                 1.0826,                0.87561,                0.79479,                0.85914,                0.54611,                 1.1541,                 0.7087,                 1.0451,               0.001264,               0.001264,               0.001264
                     38,                 1.0327,                0.69057,                  1.076,                0.87828,                0.76171,                0.84911,                0.53692,                  1.195,                0.74708,                  1.083,              0.0012592,              0.0012592,              0.0012592
                     39,                 1.0362,                0.69315,                  1.081,                0.87693,                0.78209,                0.85268,                0.54531,                 1.1643,                 0.7056,                 1.0646,              0.0012545,              0.0012545,              0.0012545
                     40,                 1.0335,                0.68029,                 1.0801,                 0.8312,                0.75647,                0.83029,                0.51813,                 1.1992,                0.81737,                 1.0774,              0.0012498,              0.0012498,              0.0012498
                     41,                 1.0306,                0.68267,                 1.0746,                0.85702,                0.80209,                  0.855,                0.54493,                   1.19,                0.71799,                 1.0601,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.0322,                0.67057,                 1.0711,                0.87316,                0.81195,                0.85661,                0.55481,                 1.1495,                 0.6863,                 1.0453,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.0126,                 0.6638,                 1.0629,                0.85885,                0.78622,                0.84948,                0.53787,                 1.1767,                 0.6786,                 1.0622,              0.0012357,              0.0012357,              0.0012357
                     44,                 1.0305,                0.67363,                 1.0705,                0.81857,                0.76581,                0.81813,                0.53363,                 1.1321,                0.78318,                 1.0457,              0.0012309,              0.0012309,              0.0012309
                     45,                 1.0153,                 0.6635,                 1.0661,                 0.8703,                0.78144,                 0.8377,                0.54129,                 1.1416,                0.71094,                  1.042,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.0192,                0.65915,                 1.0697,                0.89171,                0.80398,                0.85913,                0.54946,                 1.1582,                0.72308,                 1.0539,              0.0012215,              0.0012215,              0.0012215
                     47,                 1.0074,                0.65686,                 1.0607,                0.88637,                0.75625,                0.83842,                0.53071,                 1.1556,                0.73828,                 1.0486,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.0045,                0.65348,                 1.0577,                0.87384,                0.80708,                 0.8567,                 0.5503,                 1.1264,                0.67271,                 1.0311,              0.0012121,              0.0012121,              0.0012121
                     49,                 1.0126,                0.64588,                 1.0581,                0.88758,                0.81105,                0.85468,                0.54715,                 1.1493,                0.66022,                 1.0289,              0.0012074,              0.0012074,              0.0012074
                     50,                 1.0006,                0.63598,                 1.0625,                0.88789,                0.80797,                0.86831,                0.56459,                  1.141,                0.64799,                 1.0334,              0.0012026,              0.0012026,              0.0012026
                     51,                 1.0013,                0.64943,                 1.0553,                0.85651,                0.79604,                0.86014,                0.54726,                   1.15,                0.68001,                 1.0449,              0.0011979,              0.0011979,              0.0011979
                     52,                0.97236,                0.63826,                 1.0586,                0.88255,                0.83118,                0.87988,                0.56642,                 1.1101,                0.64839,                 1.0267,              0.0011932,              0.0011932,              0.0011932
                     53,                0.99431,                0.64731,                 1.0596,                0.87014,                0.80256,                0.86731,                0.55528,                 1.1569,                0.69086,                  1.048,              0.0011885,              0.0011885,              0.0011885
                     54,                0.99733,                0.64133,                 1.0552,                0.88175,                0.80968,                0.86906,                0.57091,                  1.096,                0.63577,                 1.0228,              0.0011838,              0.0011838,              0.0011838
                     55,                0.96676,                0.62763,                  1.048,                0.86496,                0.82842,                0.86581,                0.55306,                 1.1141,                0.66922,                 1.0292,              0.0011791,              0.0011791,              0.0011791
                     56,                0.99662,                0.63674,                  1.057,                0.88272,                0.80961,                0.87088,                0.55719,                 1.1381,                 0.6484,                 1.0304,              0.0011744,              0.0011744,              0.0011744
                     57,                0.97557,                0.63539,                 1.0577,                 0.8768,                0.80931,                 0.8616,                0.55014,                 1.1652,                0.66437,                 1.0502,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.0001,                0.63113,                 1.0607,                0.87698,                0.80959,                0.86673,                0.56874,                 1.1137,                0.65501,                 1.0233,              0.0011649,              0.0011649,              0.0011649
                     59,                0.95848,                0.61205,                 1.0392,                 0.8759,                0.81868,                0.87355,                0.57222,                 1.1141,                0.63217,                 1.0192,              0.0011602,              0.0011602,              0.0011602
                     60,                0.97291,                0.62152,                 1.0505,                0.86567,                0.84057,                0.87326,                0.57476,                 1.1131,                0.61693,                 1.0198,              0.0011555,              0.0011555,              0.0011555
                     61,                0.96924,                0.62264,                 1.0602,                0.87344,                0.80078,                0.85593,                0.54992,                  1.138,                0.65511,                 1.0308,              0.0011508,              0.0011508,              0.0011508
                     62,                 0.9782,                0.61245,                 1.0468,                0.88586,                0.83943,                0.89675,                0.57448,                 1.1054,                0.61332,                 1.0175,              0.0011461,              0.0011461,              0.0011461
                     63,                0.95474,                0.61236,                 1.0449,                0.89501,                0.84612,                0.89395,                 0.5852,                  1.102,                0.60876,                 1.0176,              0.0011413,              0.0011413,              0.0011413
                     64,                0.94104,                 0.5932,                 1.0349,                0.89963,                0.83834,                0.89302,                0.57656,                 1.1242,                0.61128,                 1.0244,              0.0011366,              0.0011366,              0.0011366
                     65,                0.97225,                0.61739,                 1.0499,                0.89646,                0.81876,                 0.8901,                0.58401,                 1.0911,                0.61865,                 1.0059,              0.0011319,              0.0011319,              0.0011319
                     66,                0.95468,                0.60585,                 1.0407,                0.85563,                0.80105,                0.88099,                0.56558,                 1.1496,                0.68244,                  1.057,              0.0011272,              0.0011272,              0.0011272
                     67,                 0.9477,                 0.6117,                 1.0394,                0.89199,                0.80773,                0.87432,                0.56907,                 1.1123,                0.64576,                 1.0224,              0.0011225,              0.0011225,              0.0011225
                     68,                0.95204,                0.60161,                 1.0406,                0.89881,                 0.7987,                0.87627,                0.56639,                 1.1238,                0.63393,                 1.0279,              0.0011178,              0.0011178,              0.0011178
                     69,                0.96101,                0.60317,                 1.0403,                0.85005,                0.82272,                0.86615,                0.55723,                 1.1248,                0.62646,                 1.0209,               0.001113,               0.001113,               0.001113
                     70,                0.93562,                0.59663,                 1.0332,                0.88135,                  0.807,                0.86094,                0.56223,                 1.1168,                0.64218,                 1.0265,              0.0011083,              0.0011083,              0.0011083
                     71,                 0.9556,                0.59198,                  1.033,                0.89493,                0.84088,                0.88627,                0.57593,                 1.1046,                0.61078,                 1.0118,              0.0011036,              0.0011036,              0.0011036
                     72,                0.93862,                0.58604,                 1.0366,                0.87016,                0.84613,                0.88521,                0.57986,                 1.1055,                0.62511,                 1.0124,              0.0010989,              0.0010989,              0.0010989
                     73,                0.91944,                0.58453,                 1.0288,                0.91741,                0.85635,                0.89918,                0.57748,                 1.1208,                0.61374,                 1.0124,              0.0010942,              0.0010942,              0.0010942
                     74,                0.94066,                0.58213,                 1.0286,                0.90736,                0.83427,                0.89061,                0.57253,                 1.1304,                0.62115,                 1.0302,              0.0010895,              0.0010895,              0.0010895
                     75,                0.92799,                0.58303,                 1.0321,                0.89064,                0.83921,                0.89564,                0.57573,                 1.1183,                0.61005,                 1.0189,              0.0010848,              0.0010848,              0.0010848
                     76,                 0.9373,                0.58052,                 1.0284,                0.89561,                0.84371,                0.89109,                0.58543,                 1.1102,                0.63359,                 1.0197,                0.00108,                0.00108,                0.00108
                     77,                0.93148,                0.58795,                 1.0302,                0.89062,                0.82587,                0.88108,                0.57777,                  1.096,                0.61163,                 1.0082,              0.0010753,              0.0010753,              0.0010753
                     78,                0.92786,                0.58739,                 1.0377,                 0.8849,                0.85903,                0.90842,                0.58809,                 1.0843,                0.58024,                  1.012,              0.0010706,              0.0010706,              0.0010706
                     79,                0.93024,                0.57558,                 1.0295,                0.88542,                0.86751,                0.89949,                0.58957,                 1.0877,                0.57586,                 1.0073,              0.0010659,              0.0010659,              0.0010659
                     80,                0.92325,                0.57672,                 1.0356,                 0.9049,                0.84446,                0.88726,                0.57746,                 1.1026,                0.58783,                 1.0191,              0.0010612,              0.0010612,              0.0010612
                     81,                0.92529,                0.57489,                 1.0348,                0.86776,                 0.8576,                0.89043,                0.57822,                 1.1026,                0.62516,                 1.0211,              0.0010565,              0.0010565,              0.0010565
                     82,                0.92616,                0.57777,                 1.0332,                0.88851,                0.85217,                 0.8909,                0.57526,                 1.1303,                0.60273,                 1.0334,              0.0010517,              0.0010517,              0.0010517
                     83,                0.91226,                0.56334,                 1.0252,                0.91777,                 0.8443,                0.90901,                0.59367,                 1.0722,                0.56987,                0.99564,               0.001047,               0.001047,               0.001047
                     84,                0.91773,                0.57443,                 1.0252,                0.89186,                0.81846,                 0.8798,                0.57674,                 1.0988,                0.65175,                   1.02,              0.0010423,              0.0010423,              0.0010423
                     85,                0.91446,                 0.5689,                 1.0232,                0.89638,                0.85814,                0.89542,                0.58184,                 1.0884,                 0.5906,                 1.0077,              0.0010376,              0.0010376,              0.0010376
                     86,                0.91298,                0.56189,                 1.0288,                 0.9063,                0.86276,                0.90747,                0.59347,                  1.099,                 0.5692,                 1.0129,              0.0010329,              0.0010329,              0.0010329
                     87,                0.91659,                0.56378,                 1.0173,                0.89843,                0.86418,                0.89782,                0.59398,                 1.0672,                0.56193,                0.99406,              0.0010282,              0.0010282,              0.0010282
                     88,                0.90505,                0.55399,                 1.0147,                0.88249,                0.88508,                0.90804,                0.59605,                 1.0722,                0.55566,                0.99003,              0.0010234,              0.0010234,              0.0010234
                     89,                0.91526,                0.55106,                 1.0158,                0.88527,                0.87343,                0.90173,                0.58955,                 1.0886,                0.56583,                0.99753,              0.0010187,              0.0010187,              0.0010187
                     90,                0.91198,                 0.5649,                 1.0197,                0.88463,                0.86161,                0.89338,                0.58602,                 1.0897,                0.59285,                 1.0044,               0.001014,               0.001014,               0.001014
                     91,                0.91327,                0.56131,                 1.0224,                0.91101,                0.86123,                 0.9038,                0.59258,                 1.0643,                0.56853,                0.99582,              0.0010093,              0.0010093,              0.0010093
                     92,                0.89814,                0.54749,                 1.0126,                0.91263,                 0.8541,                 0.9012,                0.59487,                 1.0744,                 0.5596,                0.99506,              0.0010046,              0.0010046,              0.0010046
                     93,                 0.8973,                0.54746,                 1.0186,                0.88382,                0.84586,                0.88115,                0.59497,                 1.0869,                0.59271,                 1.0019,             0.00099987,             0.00099987,             0.00099987
                     94,                 0.9077,                0.55074,                 1.0123,                0.88929,                0.87124,                0.90044,                0.60979,                 1.0517,                0.54981,                0.99729,             0.00099516,             0.00099516,             0.00099516
                     95,                0.89075,                0.54664,                 1.0081,                0.88043,                0.86454,                0.89459,                0.59508,                 1.0678,                0.56613,                 1.0013,             0.00099044,             0.00099044,             0.00099044
                     96,                0.90376,                0.55024,                 1.0191,                0.88768,                0.86766,                 0.8922,                 0.5993,                 1.0593,                0.55904,                0.99402,             0.00098572,             0.00098572,             0.00098572
                     97,                0.91087,                0.55346,                 1.0223,                0.91565,                0.86183,                0.90544,                0.60229,                 1.0585,                0.55576,                0.99459,             0.00098101,             0.00098101,             0.00098101
                     98,                0.87648,                0.54638,                 1.0148,                 0.9032,                 0.8692,                0.90878,                0.60549,                  1.059,                0.55283,                0.99498,             0.00097629,             0.00097629,             0.00097629
                     99,                0.88687,                0.54056,                 1.0111,                 0.9135,                 0.8576,                0.90168,                0.59198,                 1.0877,                0.57997,                  1.012,             0.00097158,             0.00097158,             0.00097158
                    100,                0.92122,                0.56332,                  1.017,                0.90324,                0.85113,                0.90113,                0.60416,                 1.0694,                0.56263,                 1.0012,             0.00096686,             0.00096686,             0.00096686
                    101,                0.90146,                 0.5437,                 1.0138,                0.89298,                0.85521,                0.90307,                0.59445,                 1.0772,                0.56992,                 1.0004,             0.00096215,             0.00096215,             0.00096215
                    102,                0.90276,                0.54067,                 1.0069,                0.89376,                0.88177,                0.91368,                  0.608,                 1.0736,                 0.5486,                0.99552,             0.00095743,             0.00095743,             0.00095743
                    103,                0.88872,                0.53565,                 1.0148,                0.90382,                0.88303,                0.91676,                0.60091,                 1.0626,                0.54924,                0.98809,             0.00095271,             0.00095271,             0.00095271
                    104,                0.89039,                0.53921,                 1.0098,                0.92018,                 0.8672,                0.91702,                0.60635,                  1.053,                0.55008,                0.98835,               0.000948,               0.000948,               0.000948
                    105,                0.88427,                0.53283,                 1.0122,                0.90612,                0.85729,                0.90902,                0.60764,                 1.0602,                0.54224,                0.99616,             0.00094328,             0.00094328,             0.00094328
                    106,                0.88577,                0.53976,                 1.0123,                0.90312,                0.85381,                0.89926,                 0.6043,                 1.0586,                0.56707,                0.99663,             0.00093857,             0.00093857,             0.00093857
                    107,                0.87793,                0.52509,                 1.0062,                0.92688,                0.86255,                0.90463,                0.61292,                 1.0383,                0.53934,                0.98355,             0.00093385,             0.00093385,             0.00093385
                    108,                0.87199,                0.52612,                 1.0015,                0.90498,                 0.8658,                0.91349,                0.61278,                 1.0319,                0.54365,                0.97975,             0.00092914,             0.00092914,             0.00092914
                    109,                0.87489,                0.52749,                 1.0058,                0.90443,                0.87637,                0.91801,                0.61386,                 1.0319,                0.52515,                  0.981,             0.00092442,             0.00092442,             0.00092442
                    110,                0.85682,                0.52598,                0.99542,                0.92383,                0.88525,                0.91729,                0.61256,                  1.039,                0.54289,                0.98121,              0.0009197,              0.0009197,              0.0009197
                    111,                0.84552,                0.51945,                0.99365,                 0.9079,                0.88326,                0.91727,                0.60718,                 1.0561,                0.54973,                0.98889,             0.00091499,             0.00091499,             0.00091499
                    112,                0.86178,                 0.5229,                 1.0039,                0.88488,                0.87899,                0.90973,                0.60744,                 1.0612,                  0.539,                0.99318,             0.00091027,             0.00091027,             0.00091027
                    113,                 0.8568,                0.52187,                0.99519,                 0.8981,                0.87249,                0.90564,                0.60444,                 1.0545,                0.56817,                0.98636,             0.00090556,             0.00090556,             0.00090556
                    114,                0.86664,                0.52209,                0.99657,                 0.9262,                0.86482,                0.91771,                0.60208,                 1.0647,                0.54019,                 1.0003,             0.00090084,             0.00090084,             0.00090084
                    115,                0.87496,                0.52434,                0.99956,                0.89274,                0.88077,                0.90719,                0.60366,                   1.06,                0.55926,                0.99979,             0.00089613,             0.00089613,             0.00089613
